miRNA,Target gene
hsa-miR-210-3p,NPTX1
hsa-miR-210-3p,TP53I11
hsa-miR-210-3p,HOXA1
hsa-miR-210-3p,PIM1
hsa-miR-210-3p,HOXA9
hsa-miR-210-3p,DDAH1
hsa-miR-210-3p,XIST
hsa-miR-210-3p,CPEB2
hsa-miR-210-3p,GPD1L
hsa-miR-210-3p,NCAM1
hsa-miR-210-3p,P4HB
hsa-miR-210-3p,PTPN1
hsa-miR-210-3p,BDNF
hsa-miR-210-3p,MNT
hsa-miR-210-3p,ISCU
hsa-miR-210-3p,AIFM3
hsa-miR-210-3p,CASP8AP2
hsa-miR-210-3p,VMP1
hsa-miR-210-3p,E2F3
hsa-miR-210-3p,TFRC
hsa-miR-210-3p,HSD17B1
hsa-miR-210-3p,NDUFA4
hsa-miR-210-3p,SDHD
hsa-miR-210-3p,STMN1
hsa-miR-210-3p,DIMT1
hsa-miR-210-3p,PTBP3
hsa-miR-210-3p,ALDH5A1
hsa-miR-210-3p,FOXN3
hsa-miR-210-3p,MCM3
hsa-miR-210-3p,IGFBP3
hsa-miR-210-3p,COL4A2
hsa-miR-210-3p,INPP5A
hsa-miR-210-3p,EHD2
hsa-miR-210-3p,SH3BGRL
hsa-miR-210-3p,PTPN2
hsa-miR-210-3p,LDHA
hsa-miR-210-3p,LDHB
hsa-miR-210-3p,HIF1A
hsa-miR-210-3p,FOXP3
hsa-miR-210-3p,HIF3A
hsa-miR-210-3p,KCMF1
hsa-miR-210-3p,BNIP3
hsa-miR-211-5p,KCNMA1
hsa-miR-211-5p,CDH5
hsa-miR-211-5p,POU3F2
hsa-miR-211-5p,CREB5
hsa-miR-211-5p,ELOVL6
hsa-miR-211-5p,TCF12
hsa-miR-211-5p,RAB22A
hsa-miR-211-5p,IL11
hsa-miR-211-5p,TGFB1
hsa-miR-211-5p,AP1S2
hsa-miR-211-5p,SERINC3
hsa-miR-211-5p,M6PR
hsa-miR-211-5p,IGFBP5
hsa-miR-211-5p,PDE3A
hsa-miR-211-5p,SSRP1
hsa-miR-211-5p,TGFBR2
hsa-miR-211-5p,NFAT5
hsa-miR-211-5p,IGF2R
hsa-miR-211-5p,DDIT3
hsa-miR-211-5p,NUAK1
hsa-miR-211-5p,HMX1
hsa-miR-211-5p,BCL2
hsa-miR-211-5p,ITPR1
hsa-miR-211-5p,MAP2K1
hsa-miR-215-5p,WNK1
hsa-miR-215-5p,ACVR2B
hsa-miR-215-5p,CTNNBIP1
hsa-miR-215-5p,ZEB2
hsa-miR-215-5p,RB1
hsa-miR-215-5p,ALCAM
hsa-miR-215-5p,PTPRT
hsa-miR-216a-5p,PTEN
hsa-miR-216a-5p,SIRT1
hsa-miR-216a-5p,CDC42
hsa-miR-216a-5p,CD44
hsa-miR-216a-5p,SMAD7
hsa-miR-216a-5p,BECN1
hsa-miR-216a-5p,HNF4A
hsa-miR-216b-5p,KRAS
hsa-miR-216b-5p,CSNK2A1
hsa-miR-216b-5p,BECN1
hsa-miR-218-2-3p,SLIT3
hsa-miR-219a-5p,CAMK2G
hsa-miR-219a-5p,GPC3
hsa-miR-219a-5p,EGFR
hsa-miR-23b-5p,PRODH
hsa-miR-24-2-5p,BCL2
hsa-miR-24-2-5p,SPRY2
hsa-miR-296-3p,KCNH1
hsa-miR-296-3p,ICAM1
hsa-miR-297,DGUOK
hsa-miR-298,CDKN1A
hsa-miR-298,BACE1
hsa-miR-298,BAX
hsa-miR-299-3p,FXN
hsa-miR-300,TWIST1
hsa-miR-300,BMI1
hsa-miR-301b-3p,DNMT1
hsa-miR-301b-3p,TP63
hsa-miR-302c-3p,ESR1
hsa-miR-302c-3p,CCND1
hsa-miR-302c-3p,BMPR2
hsa-miR-302c-3p,AKT1
hsa-miR-302c-3p,MICA
hsa-miR-302d-3p,TRPS1
